,Fase,Datas,Responsável
0,Disponibilização do formulário eletrônico (FAP),18/12/2019,FAPEG
1,Término do prazo para impugnação do edital,28/12/2019,EMPRESA
2,Término do prazo para envio eletrônico da proposta (até 17:00 horas),20/03/2020,EMPRESA
3,Divulgação do resultado preliminar da Etapa de Avaliação de Requisitos Formais,03/04/2020,FAPEG
4,Término do prazo para apresentação de recursos à Etapa de Avaliação de Requisitos,,
5,,17/04/2020,
6,Formais,,EMPRESA
7,Divulgação do resultado preliminar da Etapa de Avaliação de Mérito,20/05/2020,FAPEG
8,Término do prazo para apresentação de recursos à Etapa de Avaliação de Mérito,01/06/2020,EMPRESA
9,Divulgação da Lista Final de Aprovados,10/06/2020,FAPEG
