,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
0,,ATIVIDADE,,,DATA,
1,,,,,,
2,,Lançamento do Edital,,,24/02/2022,
3,,,,,,
4,,Limite para impugnação do Edital,,,11/03/2022,
5,,,,,,
6,,Limite para submissão da documentação pelas PRPGs (item 3.1),,,17/04/2022,
7,,,,,,
8,,Previsão para publicação do resultado preliminar,,,a partir de 25/04/2022,
9,,,,,,
10,,Limite para interposição de recursos em face ao resultado preliminar,,,09/05/2022,
11,,,,,,
12,,"Limite para inclusão das propostas selecionadas (projeto e plano de trabalho dobolsista) na plataforma OPP-FAPEG pelos orientadores (item 4.3)",,,09/05/2022,
13,,,,,,
14,,Limite para adequação das propostas na plataforma OPP-FAPEG,,,22/05/2022,
15,,,,,,
16,,Limite para substituição de bolsistas,,,22/05/2022,
17,,,,,,
18,,Previsão para publicação do resultado final,,,a partir de 31/05/2022,
19,,,,,,
20,,"Limite para inclusão da documentação constante no item 6.3 para contratação dosbolsistas na plataforma OPP-FAPEG",,,22/06/2022,
21,,,,,,
22,,Prazo para conclusão dos procedimentos de formalização de termo de outorga,,,29/07/2022,
23,,,,,,
