,Atividades,Datas,Unnamed: 0
0,,Início,Término
1,Lançamento da Chamada Pública,15/09/2021,
2,Fase 1. Submissão das ideias inovadoras,15/09/2021,26/10/2021
3,Seleção e avaliação das ideias inovadoras – Fase 1,27/10/2021,23/11/2021
4,Divulgação do Resultado Preliminar das Ideias Inovadoras Selecionadas – Fase 1,24/11/2021,
5,Prazo para Interposição de Recursos Administrativos na Fase 1,26/11/2021,09/12/2021
6,Divulgação das Ideias Inovadoras Aprovadas na Fase 1,17/12/2021,
7,Fase 2. Submissão dos Projetos de Empreendimento,11/01/2022,27/01/2022
8,Seleção e avaliação dos projetos de empreendimento – Fase 2,29/01/2022,17/02/2022
9,Divulgação do resultado Preliminar dos Projetos de Empreendimento Selecionados – Fase 2,18/02/2022,
10,Prazo para Interposição de Recursos Administrativos na Fase 2,19/02/2022,04/03/2022
11,Divulgação dos Projetos de Empreendimento Aprovados na Fase 2,15/03/2022,
12,Fase 3. Submissão dos Projetos de Fomento,16/03/2022,29/03/2022
13,Seleção e avaliação dos Projetos de Fomento – Fase 3,30/03/2022,12/04/2022
14,Divulgação do Resultado Preliminar dos Projetos de Fomento Selecionados – Fase 3,19/04/2022,
15,Prazo para Interposição de Recursos Administrativos na Fase 3,20/04/2022,04/05/2022
16,Divulgação do resultado final e publicação no DOE,24/05/2022,
17,"Prazo para constituição da empresa e inserção de documentos para a contratação na Plataformada FAPEG","Até 60 dias após a divulgação doresultado final",
18,Contratação dos projetos de fomento,"Até 90 dias após a divulgação doresultado final",
19,Chamada de Suplentes,"Até 190 dias após a divulgação doresultado final",
