,FASES,DATAS
0,Lançamento da chamada na página eletrônica da FAPEG e no DOE,06/04/2021
1,Prazo limite para impugnação do edital,13/04/2021
2,Inscrições - na plataforma OPP FAPEG,14/04/2021 a 13/05/2021
3,Análise das Inscrições,14/05/2021 a 18/05/2021
4,Resultado preliminar de proponentes habilitados na etapa de,19/05/2021
5,enquadramento,
6,Prazo para interposição de recursos sobre o resultado da habilitação na,20/05/2021 a 02/06/2021
7,etapa de enquadramento,
8,Resultado final de proponentes habilitados para habilitação na etapa de,09/06/2021
9,enquadramento,
10,Realização da etapa de Mérito – Análise Curricular,09/06/2021 a 14/06/2021
11,Divulgação do resultado preliminar da etapa de Mérito – Análise,15/06/2021
12,Curricular,
13,Prazo para interposição de recursos sobre o resultado da etapa de,16/06/2021 a 29/06/2021
14,Mérito – Análise Curricular,
15,Divulgação do resultado final da etapa de Mérito – Análise Curricular,05/07/2021
16,Realização da etapa de Mérito – Entrevistas,06/07/2021
17,Divulgação do resultado preliminar da etapa de Mérito – Entrevistas,08/07/2021
18,Prazo para interposição de recursos sobre o resultado da etapa de,09/07/2021 a 22/07/2021
19,Mérito – Entrevistas,
20,Divulgação do resultado final da seleção,26/07/2021
21,"Prazo para que o bolsista selecionado entregue a documentação, com",30/07/2021
22,vistas à assinatura do Termo de Outorga,
23,Término do prazo para a FAPEG concluir os procedimentos internos,Até 13/08/2021
24,"voltados à formalização do termo de outorga, com as devidas",
25,assinaturas,
26,Início da implementação da bolsa,A partir da formalização do
27,,"termo de outorga, com as"
28,,"devidas assinaturas, e de"
29,,acordo com a disponibilidade
30,,orçamentária da FAPEG.
