lancamento,submissao,resultado,last
2022-06-15,2022-07-22,2022-01-08,2022-09-19
,,,
2022-02-24,2022-04-17,2022-04-25,2022-07-29
2021-09-15,2021-10-25,2021-03-11,2021-11-23
,,,
2021-03-09,2021-04-10,2021-08-10,2022-10-01
2021-06-14,2021-07-28,2021-11-08,2021-09-21
2021-06-04,2021-05-13,2021-05-19,
,,,
2020-08-20,2020-09-27,,2020-09-27
,,,
,,,
,,,
,,,
2019-12-17,2020-05-15,2019-12-17,2020-05-15
,,,
2019-10-16,2019-10-23,2019-10-26,2019-10-28
,,,
,,,
,,,
2018-05-16,2018-06-25,2018-09-07,2018-09-27
2018-05-16,2018-02-07,2018-07-16,2018-09-25
2018-05-16,2018-02-07,2018-07-16,2018-09-25
2018-05-16,2018-07-13,2018-05-16,2018-08-31
,,,
2018-05-16,2018-02-07,2018-07-31,2018-10-15
,,,
,,,
,,,
2017-11-13,2018-05-31,2018-07-31,2018-07-31
2017-10-10,2017-11-20,2017-10-10,2018-05-01
,,,
,,,
2017-06-26,2017-12-15,2018-02-28,2018-02-28
