ATIVIDADES,DATA
Lançamento do Edital na página eletrônica da FAPEG e no DOE,29/01/2018
Disponibilização do formulário no sistema FAPEGestor,01/02/2018
Limite para impugnação do Edital,01/02/2018
"",,RESULTADO FINAL A
PERÍODO DO EVENTO,INSCRIÇÃO,
"",,PARTIR DE
1 a 30 de abril de 2018,,
e,Até 5 de março de 2018,19 de março de 2018
1 a 31 de maio de 2018,,
1 a 30 de junho de 2018,,
e,Até 10 de abril de 2018,30 de abril de 2018
1 a 31 de julho de 2018,,
1 a 31 de agosto de 2018,Até 10 de maio de 2018,30 de maio de 2018
1 a 30 de setembro de 2018,Até 11 de junho de 2018,29 de junho de 2018
1 a 31 de outubro de 2018,Até 10 de julho de 2018,30 de julho de 2018
1 a 30 de novembro de 2018,Até 10 de agosto de 2018,30 de agosto de 2018
1 a 31 de dezembro de 2018,Até 10 de setembro de 2018,28 de setembro de 2018
1 a 30 de janeiro de 2018,Até 10 de outubro de 2018,30 de outubro de 2018
1 a 28 de fevereiro de 2018,Até 12 de novembro de 2018,30 de novembro de 2018
1 a 31 de março de 2018,Até 10 de dezembro de 2018,28 de dezembro de 2018
CRITÉRIOS,NOTA
I – Mérito e relevância científica do trabalho a ser apresentado;,1 a 5
II – Produção científica;,1 a 5
III - Impacto dos resultados do trabalho a ser apresentado no,
"",1 a 5
"desenvolvimento científico, tecnológico e de inovação no Estado;",
IV - Participação do proponente em programas de pós-graduação,
"",1 a 5
stricto sensu,
