,ATIVIDADES,DATA
0,2.1 Lançamento do Edital na página eletrônica da FAPEG e no DOE,16/05/2018
1,2.2 Disponibilização do formulário no sistema OPP FAPEG,05/06/2018
2,2.3 Limite para impugnação do edital,23/05/2018
3,2.4 Limite para submissão eletrônica das propostas,25/06/2018
4,2.5 Limite para entrega da proposta impressa no respectivo PPGSS,27/06/2018
5,2.6 Limite para entrega do resultado da seleção por parte dos PPGSS à FAPEG,09/07/2018
6,2.7 Publicação do Resultado Preliminar na página da FAPEG,03/08/2018
7,2.8LimiteparaapresentaçãoderecursoaoPPGSSquantoaoresultado,10/08/2018
8,preliminar,
9,2.9LimiteparaoPPGSSentregaràFAPEGosrecursosjulgadospara,15/08/2018
10,homologação.,
11,2.10 Publicação do Resultado Final na página da FAPEG e no DOE,20/08/2018
12,2.11 Entrega da documentação por parte do candidato selecionado à FAPEG,27/08/2018
13,para fins de contratação e implementação da bolsa,
14,2.12 Data final para a entrega de documentação pelo candidato selecionado à,27/09/2018
15,FAPEG,
