,ATIVIDADES,DATA
0,2.1 Lançamento do Edital na página eletrônica da FAPEG e no DOE,16/05/2018
1,2.2 Limite para impugnação do edital,23/05/2018
2,2.3 Disponibilização do formulário no sistema OPP FAPEG,05/06/2018
3,2.4 Limite para submissão eletrônica das propostas,02/07/2018
4,2.5 Publicação do resultado preliminar de enquadramento,16/07/2018
5,2.6 Fim do prazo para interposição de recurso ao resultado preliminar de en-,
6,,23/07/2018
7,quadramento.,
8,2.7 Publicação do resultado final de enquadramento,25/07/2018
9,2.8 Fim da avaliação de mérito e publicação do resultado preliminar na página,
10,,06/08/2018
11,da FAPEG,
12,2.9 Limite para apresentação de recurso à FAPEG quanto ao resultado Prelimi-,
13,,13/08/2018
14,nar,
15,2.10 Publicação do Resultado Final na página da FAPEG e no DOE,17/08/2018
16,2.11 Início da implementação dos recursos condicionada à apresentação de,
17,,24/08/2018
18,documentos no sistema OPP FAPEG,
19,2.12 Limite para implementação do auxílio,25/09/2018
