,ATIVIDADES,Unnamed: 0,Unnamed: 1,DATA
0,2.1 Lançamento do Edital na página eletrônica da FAPEG e no DOE,,,16/05/2018
1,2.2 Limite para impugnação do edital,,,23/05/2018
2,2.3 Disponibilização do formulário no sistema OPP FAPEG,,,05/06/2018
3,2.4 Limite para submissão eletrônica das propostas,,,02/07/2018
4,2.5 Publicação do resultado preliminar de enquadramento,,,31/07/2018
5,2.6 Fim do prazo para interposição de recurso ao resultado preliminar,de,,
6,,,,07/08/2018
7,enquadramento.,,,
8,2.7 Publicação do resultado final de enquadramento,,,14/08/2018
9,2.8 Fim da avaliação de mérito e publicação do resultado preliminar na página da,,,
10,,,,24/08/2018
11,FAPEG,,,
12,2.9 Limite para apresentação de recurso à FAPEG quanto ao resultado preliminar,,,31/08/2018
13,2.10 Publicação do Resultado Final na página da FAPEG e no DOE,,,06/09/2018
14,2.11 Início da implementação dos recursos condicionada à entrega da documentação,,,
15,,,,14/09/2018
16,na FAPEG,,,
17,2.12 Limite para implementação do auxílio,,,15/10/2018
