,FASES,DATAS
0,Lançamento da chamada na página eletrônica da FAPEG e no DOE,20/01/2020
1,Prazo limite para impugnação do edital,24/01/2020
2,Inscrições - na plataforma OPP FAPEG,27/01/2019 a 27/02/2020
3,,
4,Análise das Inscrições,28/02/2020 a 09/03/2020
5,Divulgação da lista preliminar de proponentes habilitados para a,
6,entrevista,10/03/2020
7,,
8,Prazo para interposição de recursos sobre o resultado da habilitação para,
9,a etapa de entrevistas,11/03/2020 a 24/03/2020
10,,
11,Divulgação da lista definitiva de proponentes habilitados para a etapa de,
12,entrevistas,25/03/2020
13,,
14,Realização da etapa de entrevistas,26/03/2020 a 31/03/2020
15,,
16,Divulgação do resultado do processo seletivo,01/04/2020
17,,
18,Prazo para interposição de recursos sobre o resultado do processo,02/04/2020 a 15/04/2020
19,seletivo.,
20,Divulgação do resultado final do processo seletivo,17/04/2020
21,Treinamento dos proponentes selecionados na metodologia do PEIEX,22/04/2020 a 24/04/2020
22,Início da implementação das bolsas - condicionada à entrega da,
23,,A partir de 27/04/2020
24,documentação por parte do bolsista na FAPEG,
