,Critério de Análise e Julgamento,NOTA
0,A Capacidade de articulação entre a IES ou a ICTI e as empresas incubadas,0 a 10
1,B Aplicabilidade dos objetivos propostos,0 a 10
2,"Relevância para o desenvolvimento científico, tecnológico, estratégico, econômico e",
3,C,0 a 10
4,social do Estado de Goiás,
5,"Clareza quanto à definição das metas de acompanhamento e avaliação, pela FAPEG, da",
6,D,0 a 10
7,evolução do trabalho desenvolvido,
8,Experiência e capacidade técnica do proponente e da equipe responsável pelo,
9,E,0 a 10
10,desenvolvimento do projeto na incubadora de empresas,
11,Infraestrutura disponível nas incubadoras e nas empresas incubadas para a realização,
12,F,0 a 10
13,das suas atividades,
14,G Currículo Lattes do coordenador do projeto,0 a 10
15,H Número de empresas graduadas,0 a 10
16,I Número de empresas incubadas,0 a 10
17,J Número de empresas pré-incubadas,0 a 10
18,K Faturamento das empresas incubadas nos últimos 02 (dois) anos,0 a 10
19,L Faturamento das empresas graduadas nos últimos 02 (dois) anos,0 a 10
