,Unnamed: 0,Brazilian States & FAPs,Unnamed: 1,Maximum,Contacts
0,,,,Total Budget,
1,,,,(Euros),
2,1.0,,,"50.000,00",antonio.carvalho@fapeal.br
3,,Alagoas – FAPEAL,,,
4,2.0,,,"100.000,00",gabinete@fapeam.gov.br
5,,Amazonas – FAPEAM,,,
6,3.0,,,"100.000,00",parcerias@fapes.es.gov.br
7,,Espírito Santo – FAPES,,,
8,4.0,,,"220.000,00",Regina.buani@fap.df.gov.br
9,,Federal District – FAPDF,,,
10,5.0,,,"110.000,00",comunicacao.fapeg@goias.gov.br
11,,Goiás – FAPEG,,,
12,6.0,Mato Grosso do Sul,–,"25.000,00",projetos@fundect.ms.gov.br
13,,FUNDECT,,,
14,7.0,,,"100.000,00",dpi@fapemig.br
15,,Minas Gerais – FAPEMIG,,,
16,8.0,,,"30.000,00",lucasscs@hotmail.com
17,,Pará – FAPESPA,,,
18,9.0,,,"10.000,00",neildes.paiva@facepe.br
19,,Pernambuco - FACEPE,,,
20,10.0,,,"300.000,00",assessoria.internacional@faperj.br
21,,Rio de Janeiro – FAPERJ,,,
22,11.0,,,"100.000,00",internacional@fapesc.sc.gov.br
23,,Santa Catarina – FAPESC,,,
24,12.0,,,"320.000,00",Chamada-maeci@fapesp.br
25,,São Paulo – FAPESP,,,
26,13.0,,,"65.000,00",munique.oliveira@fapt.to.gov.br
27,,Tocantins - FAPT,,,
