,Unnamed: 0,Município,População (2018),Unnamed: 1
0,Abadiânia,,,19.614
1,Água Fria de Goiás,,,5.676
2,Águas Lindas de Goiás,,,207.07
3,Alexânia,,,27.288
4,Alto Paraíso de Goiás,,,7.558
5,Alvorada do Norte,,,8.614
6,Barro Alto,,,10.922
7,Cabeceiras,,,7.939
8,Cavalcante,,,9.693
9,Cidade Ocidental,,,69.829
10,Cocalzinho de Goiás,,,19.971
11,Corumbá de Goiás,,,11.05
12,Cristalina,,,57.759
13,Flores de Goiás,,,16.1
14,Formosa,,,119.506
15,Goianésia,,,69.072
16,Luziânia,,,205.023
17,Mimoso de Goiás,,,2.612
