,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Distribuição das
0,,,Cursos de Pós-Graduação (1),,
1,Nome da Instituição de Ensino Superior,,,,bolsas
2,,Total,ME DO MP,DP,ME DO
3,Centro Universitário Alves Faria (UNIALFA),3,1 0 2,0,2 0
4,Universidade Evangélica de Goiás (UniEVANGÉLICA),6,3 2 1,0,3 2
5,Faculdade de Inhumas (FACMAIS),1,1 0 0,0,1 0
6,"Inst. Federal de Ed., Ciência e Tecnologia de Goiás (IFG)",4,1 0 2,1,3 1
7,"Inst. Federal de Ed., Ciência e Tecnologia Goiano",,,,
8,,13,4 1 8,0,10 1
9,(IFGoiano),,,,
10,Pontifícia Universidade Católica de Goiás (PUC-Goiás),14,11 3 0,0,9 3
11,Universidade de Rio Verde (UNIRV),2,1 0 1,0,2 0
12,Universidade Estadual de Goiás (UEG),17,13 1 3,0,13 1
13,Universidade Federal de Goiás (UFG),94,49 40 5,0,45 39
14,Universidade Federal de Catalão (UFCAT),11,7 2 2,0,7 2
15,Universidade Federal de Jataí (UFJ),7,6 1 0,0,5 1
16,Total,172,97 50 24,1,100 50
