,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,,ATIVIDADES,,DATA,
1,,,,,
2,,3.1 Lançamento do Edital na página eletrônica da FAPEG e no DOE,,16/05/2018,
3,,,,,
4,,3.2 Limite para impugnação do edital,,23/05/2018,
5,,,,,
6,,3.3 Disponibilização do formulário no sistema OPP FAPEG,,05/06/2018,
7,,,,,
8,,3.4 Limite para submissão eletrônica das propostas,,02/07/2018,
9,,,,,
10,,3.5 Publicação do resultado preliminar de enquadramento,,31/07/2018,
11,,,,,
12,,,,,
13,,3.6 Fim do prazo para interposição de recurso ao resultado preliminar de enquadramento.,,07/08/2018,
14,,,,,
15,,,,,
16,,3.7 Publicação do resultado final de enquadramento,,13/08/2018,
17,,,,,
18,,,,,
19,,3.8 Fim da avaliação pelo Comitê de Especialistas junto à FAPEG e divulgação do,,22/08/2018,
20,,resultado preliminar da Chamada,,,
21,,,,,
22,,3.9 Fim do prazo para interposição de recurso ao resultado preliminar frente à,,29/08/2018,
23,,FAPEG,,,
24,,3.10 Publicação do resultado final na página da FAPEG e no DOE,,06/09/2018,
25,,3.11 Início da implementação (contratação) dos candidatos aprovados pela FAPEG,,14/09/2018,
26,,,,,
27,,3.12 Fim do prazo para implementação (contratação),,15/10/2018,
28,,,,,
