,15.1.,"A qualquer tempo, a presente chamada poderá ser alterada ou anulada, no todo ou em"
0,,"parte por decisão unilateral da FAPEG por motivo de interesse público ou exigência legal,"
1,,sem que isso implique direito a indenização ou impugnação de qualquer natureza;
2,15.2.,"A Presidência da FAPEG poderá corrigir erros de natureza material contida no edital, me-"
3,,diante prévia publicação no Diário Oficial do Estado de Goiás;
4,15.3.,Não será permitido determinar ao bolsista a realização de tarefas administrativas;
5,15.4.,Não haverá pagamento de bolsa com data anterior ou posterior ao prazo de vigência esta-
6,,belecido no Termo de Aceitação e Concessão de Bolsa.
7,15.5.,As bolsas concedidas pela FAPEG não geram vínculo empregatício e são destinadas exclu-
8,,sivamente à execução de pesquisa científica.
9,15.6.,"É de responsabilidade do bolsista e do supervisor, acompanhar a publicação de todos os"
10,,atos e comunicados referentes a esse processo seletivo divulgado no sítio www.fa-
11,,peg.go.gov.br
12,15.7.,"Quaisquer trabalhos publicados pelos bolsistas selecionados, individualmente ou em cola-"
