,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,§,Prevalência de Doença de Chagas em trabalhadores rurais e identificação
0,,,,,,,de triatomíneos em áreas de cultivo.
1,,,,,,§,Desenvolvimento de novas estratégias para controle de hospedeiros
2,,,,,,,intermediários e vetores de doenças tropicais.
3,,,,,,§,Estratégias para prevenção e controle de zoonoses veiculadas por
4,,,,,,,alimentos.
5,,,,,,§,"Análise do acesso, da qualidade e da resolutividade do cuidado à saúde das"
6,IV –,Atenção à,Saúde,,,,mulheres e das gestantes na atenção primária do estado de Goiás.
7,Materno,"Infantil,",,da,,§,Avaliação da implementação do programa de Crescimento e
8,"Criança, da Mulher e do",,,,,,Desenvolvimento (CD) da criança no estado de Goiás.
9,Adolescente,,,,,§,Avaliação da implementação da Política de Atenção Integral à Saúde do
10,,,,,,,Adolescente.
11,,,,,,§,Análise da implementação e efetividade da Política Nacional de Redução
12,,,,,,,de Morbimortalidade por acidentes e violências no estado de Goiás.
13,,,,,,§,Rastreamento da sororreatividade aos SARs-CoV-2 em profissionais de
14,V –,"Causas Externas,",,,,,saúde.
15,Saúde,do Trabalhador,,,,§,Análise da qualidade de vida das populações vulneráveis do estado de
16,e,Populações,,,,,Goiás.
17,Vulneráveis,,,,,§,Avaliação da prevalência e fatores de risco a doenças infecciosas em
18,,,,,,,populações vulneráveis.
19,,,,,,§,Análise da implementação da Política Nacional de Atenção Integral à Saúde
20,,,,,,,de Adolescentes em Conflito com a Lei (PNAISARI) no Estado de Goiás.
