page_title,file_name,page_url,file_url
Chamada Pública 04/2022 – Seleção de Bolsistas para Atuação no Programa Embaixadores da Inovação (Ciclo 2022/2023),Chamada Pública 04/2022 – Seleção de Bolsistas para Atuação no Programa Embaixadores da Inovação (Ciclo 2022/2023),,http://www.fapeg.go.gov.br/wp-content/uploads/2022/06/Chamada-Edital-Embaixadores-1.pdf
Chamada 03/2022 – Programa de Auxílio à Pesquisa Científica e Tecnológica,1ª Retificação –,,http://www.fapeg.go.gov.br/wp-content/uploads/2022/05/Primeira-retificacao-1.pdf
Chamada 03/2022 – Programa de Auxílio à Pesquisa Científica e Tecnológica,Chamada Pública nº 03/2022 – Programa de Auxílio à Pesquisa Científica e Tecnológica,,http://www.fapeg.go.gov.br/wp-content/uploads/2022/05/Edital_de_Auxilio_a_Pesquisa___20_05_22.pdf
Chamada CONFAP-CNPq-THE UK Academies,"Chamada CONFAP – CNPq – THE UK ACADEMIES Fellowships, Research Mobility, and Young Investigator Grants for UK researchers in Brazil",,http://www.fapeg.go.gov.br/wp-content/uploads/2022/05/CONFAP_CNPq_Academies-Call_-2022.pdf
Chamada CONFAP-CNPq-THE UK Academies,Diretrizes Fapeg,,http://www.fapeg.go.gov.br/wp-content/uploads/2022/05/Chamada-CONFAP-THE-UK-Academies-2022-Diretrizes-FAPEG.pdf
Chamada CONFAP-CNPq-THE UK Academies,Modelo de Súmula Curricular,,http://www.fapeg.go.gov.br/wp-content/uploads/2022/05/Modelo-de-Sumula-Curricular-versao-em-ingles.pdf
Chamada Pública 02/2022 – Chamada para o fortalecimento das áreas naturais protegidas no Nordeste Goiano,Chamada Pública 02/2022 – Chamada para o fortalecimento das áreas naturais protegidas no Nordeste Goiano,,http://www.fapeg.go.gov.br/wp-content/uploads/2022/04/Edital-02.2022.pdf
CHAMADA CONFAP & Wallonie Bruxelles – Bélgica 2022,Corrigendum no. 1,,http://www.fapeg.go.gov.br/wp-content/uploads/2022/03/CONFAP-WBI-call-for-projects_-Corrigendum-no-1-.pdf
CHAMADA CONFAP & Wallonie Bruxelles – Bélgica 2022,CHAMADA CONFAP & Wallonie Bruxelles – Bélgica 2022,,https://confap.org.br/news/wp-content/uploads/2022/01/CONFAP-WBI-call-for-projects.pdf
Chamada Pública nº 01/2022 Programa de Concessão de Bolsas de Formação em Mestrado e Doutorado,Resultado Final,,http://www.fapeg.go.gov.br/wp-content/uploads/2022/02/Resultado_final___EDITAL_DE_BOLSAS_2022.pdf
Chamada Pública nº 01/2022 Programa de Concessão de Bolsas de Formação em Mestrado e Doutorado,Resultado Preliminar,,http://www.fapeg.go.gov.br/wp-content/uploads/2022/02/Resultado-preliminar-Ed.-Bolsas-05-05-22-1.pdf
Chamada Pública nº 01/2022 Programa de Concessão de Bolsas de Formação em Mestrado e Doutorado,Tutorial para preenchimento da plataforma OPP-FAPEG pelos orientadores,,http://www.fapeg.go.gov.br/wp-content/uploads/2022/02/Tutorial-OPP-para-Orientadores-Edital-de-Bolsas-FAPEG-no-01-2022-1.pdf
Chamada Pública nº 01/2022 Programa de Concessão de Bolsas de Formação em Mestrado e Doutorado,Modelo de projeto para o bolsista,,http://www.fapeg.go.gov.br/wp-content/uploads/2022/02/Roteiro-para-projeto-Bolsas-de-Mestrado-e-Doutorado-1.pdf
Chamada Pública nº 01/2022 Programa de Concessão de Bolsas de Formação em Mestrado e Doutorado,Retificação II,,http://www.fapeg.go.gov.br/wp-content/uploads/2022/02/2a-retificacao-Edital-de-Bolsas-001-2022.pdf
Chamada Pública nº 01/2022 Programa de Concessão de Bolsas de Formação em Mestrado e Doutorado,Retificação I,,http://www.fapeg.go.gov.br/wp-content/uploads/2022/02/Retificacao-I-Edital-01-2022.pdf
