,atividade,data
0,Lançamento da Chamada na Página da FAPEG e da FGB ,19/04/2022 
1,Prazo para impugnação da Chamada ,Até 29/04/2022 
2,Submissão de Propostas e envio de documentos ,"19/04/2022 até 02/06/2022, 18h "
3,Avaliação de mérito para Fase de Detalhamento e Mentoria ,Até 28/06/2022 
4,"Divulgação do resultado preliminar dos Selecionados para a Fase de Detalhamento e Mentoria, inscritos via FAPEG ",30/06/2022 
5,Prazo de interposição de recursos para soluções inscritas via FAPEG ,De 01/07/2022 a 14/07/2022 
6,Divulgação dos Selecionados para a Fase de Detalhamento e Mentoria ,29/07/2022 
7,"Mentoria e detalhamento, com submissão eletrônica das propostas de solução, e documentação para inscritos via FGB ","De 01/08/2022 até as 18 h de 12/08/2022, em plataforma a ser divulgada por e-mail aos selecionados "
8,Avaliação de mérito – Propostas detalhadas (Comitê Técnico) ,Até 19/08/2022 
9,Divulgação de avaliação de mérito preliminar da FAPEG ,23/08/2022 
10,Prazo de interposição de recursos das soluções inscritas via FAPEG ,24/08/2022 a 06/09/2022 
11,Divulgação dos selecionados para receber apoio financeiro ,26/09/2022 
12,"Envio de documentação para receber ao apoio financeiro, inscritos FGB e FAPEG ",27/09/2022 a 05/10/2022 
13,Celebração de Termo de outorga com os projetos aprovados ,Até 01/12/2022 
