,Unnamed: 0,Datas,Unnamed: 1
0,Atividades,,
1,,Início,Término
2,Lançamento da Chamada Pública (na Campus Party),4/09/2019,
3,FASE 1. SUBMISSÃO DAS IDEIAS INOVADORAS,4/09/2019,4/10/2019
4,Seleção e avaliação das ideias inovadoras – Fase 1,5/10/2019,16/10/2019
5,Divulgação do Resultado Preliminar das Ideias Inovadoras Selecionadas – Fase 1,18/10/2019,
6,Prazo para Interposição de Recursos Administrativos na Fase 1,19/10/2019,29/10/2019
7,Divulgação das Ideias Inovadoras Aprovadas na Fase 1,5/11/2019,
8,FASE 2. SUBMISSÃO DOS PROJETOS DE EMPREENDIMENTO,5/11/2019,17/11/2019
9,Seleção e avaliação dos projetos de empreendimento – Fase 2,19/11/2019,1/12/2019
10,Divulgação do resultado Preliminar dos Projetos de Empreendimento Selecionados –,,
11,,3/12/2019,
12,Fase 2,,
13,Prazo para Interposição de Recursos Administrativos na Fase 2,4/12/2019,13/12/2019
14,Divulgação dos Projetos de Empreendimento Aprovados na Fase 2,19/12/2019,
15,FASE 3. SUBMISSÃO DOS PROJETOS DE FOMENTO,19/12/2019,10/01/2020
16,Seleção e avaliação dos projetos de fomento – Fase 3,20/01/2020,5/02/2020
17,Divulgação do Resultado Preliminar dos Projetos de Fomento Selecionados – Fase 3,10/02/2020,
18,Prazo para Interposição de Recursos Administrativos na Fase 3,11/02/2020,21/02/2020
19,Divulgação do resultado final e publicação no DOE,26/02/2020,
20,,15/03/2020,20/04/2020
21,Prazo para constituição da empresa e inserção de documentos para a contratação da,,
