,ATIVIDADES,DATA
0,2.1 Lançamento do Edital na página eletrônica da FAPEG e no DOE,16/05/2018
1,2.2 Limite para impugnação do edital,23/05/2018
2,2.3 Disponibilização do formulário no sistema OPP FAPEG,05/06/2018
3,2.4 Limite para submissão eletrônica das propostas,02/07/2018
4,2.5 Publicação do resultado preliminar de enquadramento,16/07/2018
5,2.6 Fim do prazo para interposição de recurso ao resultado preliminar de,
6,,23/07/2018
7,enquadramento.,
8,2.7 Publicação do resultado final de enquadramento,25/07/2018
9,2.8 Fim da avaliação pelo Comitê de Especialistas junto à FAPEG e divulgação do,
10,,06/08/2018
11,resultado preliminar da Chamada,
12,2.9 Fim do prazo para interposição de recurso ao resultado preliminar frente à,
13,,13/08/2018
14,FAPEG,
15,2.10 Publicação do resultado final na página da FAPEG e no DOE,17/08/2018
16,2.11 Início da implementação das bolsas condicionada à apresentação da,
17,,24/08/2018
18,documentação por parte do bolsista na FAPEG,
19,2.12 Limite para implementação das bolsas,25/09/2018
