,Unnamed: 0,Unnamed: 1,APOIOS TÉCNICOS,Unnamed: 2,Unnamed: 3
0,Requisitos obrigatórios:,,,,
1,Formação acadêmica,Curso,"superior em andamento, preferencialmente em",Comércio,"Exterior,"
2,,Administração ou Relações Internacionais.,,,
3,Experiência Profissional,Não há.,,,
4,Conhecimentos,Pacote Office,,,
5,específicos,,,,
6,Competências,,Gestão administrativa e financeira;,,
7,,,Pacote Office.,,
8,Requisitos específicos:,,,,
9,,,Apresentar autodeclararão de inexistência de vínculo empregatício.,,
10,Requisitos desejáveis:,,,,
11,,Não há.,,,
