,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Pontuação,Unnamed: 4
0,CRITÉRIO 1,,Nota,,,Peso
1,,,,,máxima,
2,1.1,"Curso superior completo em Relações Internacionais,",,,,
3,,,"2,0",,,
4,,Administração ou Comércio Exterior;,,,,
5,1.2,,,,,
6,,Curso superior completo em outra graduação,"1,0",,,
7,Aderência da 1.3,Possuir pós-graduação concluída com carga horária,,,,
8,formação do,"mínima de 360 horas, nas áreas de Relações","2,0",,,
9,proponente aos,"Internacionais, Administração ou Comércio Exterior;",,,10,5
10,requisitos da 1.4,Possuir Mestrado concluído nas áreas de Relações,,,,
11,"2,0 vaga","Internacionais, Administração ou Comércio Exterior;",,,,
12,1.5,Possuir Doutorado concluído nas áreas de Relações,,,,
13,,,"2,0",,,
14,,"Internacionais, Administração ou Comércio Exterior;",,,,
15,1.6,Fluência comprovada em inglês e/ou espanhol,,,,
16,,,"1,0",,,
17,,(certificado de proficiência).,,,,
18,,,,,Pontuação,
19,CRITÉRIO 2,,Nota,,,Peso
20,,,,,máxima,
21,2.1,Possuir ao menos seis (06) meses de experiência,,,,
22,,,"2,0",,,
23,,profissional comprovada em gestão de equipe.,,,,
24,2.2,Possuir ao menos seis (06) meses de experiência,,,,
25,,"profissional comprovada em Comércio Exterior, com","2,0",,,
26,,vínculo em empresas exportadoras.,,,,
27,2.3,Possuir ao menos seis (06) meses de experiência,,,,
28,Aderência da,profissional comprovada em consultoria em Comércio,"2,0",,,
29,experiência do,Exterior.,,,,
30,proponente aos 2.4,Possuir ao menos seis (06) meses de experiência,,,10,5
31,requisitos da,"profissional comprovada em Comércio Exterior, com",,,,
32,,,"2,0",,,
33,vaga,vínculo em Comerciais exportadora/Trading,,,,
34,,Companies;,,,,
35,2.5,,,,,
36,,Possuir ao menos seis (06) meses de experiência,,,,
37,,"profissional comprovada em Comércio Exterior, com",,,,
38,,,"2,0",,,
39,,vínculo em empresas de despacho e serviços,,,,
40,,aduaneiros.,,,,
