,Unnamed: 0,CRITÉRIOS DE ANÁLISE DE MÉRITO,PESO,NOTA
0,,Impacto dos recursos financeiros solicitados na melhoria do conceito do PPGSS,,
1,I,,3.0,0 a 10
2,,junto à CAPES e adesão do projeto aos termos da presente Chamada.,,
3,II,Abrangência da utilização dos recursos financeiros dentro do programa.,2.0,0 a 10
4,,"Impacto dos recursos financeiros na melhoria da infraestrutura, na mobilidade de",,
5,III,,2.0,0 a 10
6,,docentes e discentes e na produção acadêmica.,,
7,,Clareza quanto a definição das metas e indicadores relativos ao acompanhamento,,
8,IV,,2.0,0 a 10
9,,e avaliação da evolução do projeto a ser desenvolvido.,,
10,,Impacto dos recursos financeiros na integração entre graduação e a pós-,,
11,V,,1.0,0 a 10
12,,graduação.,,
13,,TOTAL,10.0,10
