,ATIVIDADES,DATA
0,2.1 Lançamento do Edital na página eletrônica da FAPEG e no DOE,10/10/2017
1,2.2 Disponibilização do formulário no sistema FAPEGestor,11/10/2017
2,2.3 Limite para impugnação do edital,11/10/2017
3,2.4 Limite para submissão eletrônica das propostas,31/10/2017
4,2.5 Limite para entrega da proposta impressa no respectivo PPGSS,06/11/2017
5,2.6 Limite para entrega do resultado da seleção por parte dos PPGSS,20/11/2017
6,à FAPEG,
7,2.9 Fim da avaliação pelo Comitê de Especialistas junto à FAPEG e,24/11/2017
8,divulgação do resultado preliminar da Chamada,
9,2.10 Publicação do resultado final na página da FAPEG e no DOE,04/12/2017
10,2.11 Início da implementação das bolsas condicionada à entrega da,05/12/2017
11,documentação por parte do bolsista na FAPEG,
12,2.12 Limite para implementação das bolsas,05/01/2018
