,Unnamed: 0,CRITÉRIOS,Nota,Peso
0,I - mérito científico,,1  a  5,3.0
1,"II - relevância para o desenvolvimento científico, tecnológico e inovação para a",,,
2,,,1  a  5,2.0
3,agropecuária no estado de Goiás;,,,
4,III - coerência e adequação entre a capacitação e a experiência do proponente,,,
5,,,1  a  5,3.0
6,"do projeto aos objetivos, atividades e metas propostas;",,,
7,IV - adequação da metodologia proposta;,,1  a  5,1.0
8,"V - adequação do orçamento aos objetivos, atividades e metas propostas;",,1  a  5,2.0
9,VI - adequação do cronograma físico-financeiro e qualidade dos indicadores de,,,
10,,,1  a  5,2.0
11,progresso técnico-científico do projeto;,,,
12,VII - impactos dos resultados esperados e benefícios potenciais para a,,,
13,,,1  a  5,3.0
14,respectiva área de conhecimento e para a sociedade;,,,
15,VIII - mecanismos de repasse do conhecimento e produtos gerados para a,,,
16,,,1  a  5,3.0
17,sociedade.,,,
