,FASES,DATAS
0,Lançamento da chamada na página eletrônica da FAPEG e no DOE,03/09/2021
1,Prazo limite para impugnação do edital,08/09/2021
2,Inscrições - na plataforma OPP FAPEG,"03/09/2021 a04/10/2021"
3,Análise das Inscrições,"05/10/2021 a06/10/2021"
4,Divulgação da lista preliminar de proponentes habilitados na etapa de enquadramento,07/10/2021
5,"Prazo para interposição de recursos sobre o resultado da habilitação na etapa deenquadramento","08/10/2021 a22/10/2021"
6,"Divulgação da lista definitiva de proponentes habilitados para habilitação na etapa deenquadramento",25/10/2021
7,Realização da etapa de análise de Mérito,"25/10/2021 a05/11/2021"
8,Divulgação do resultado preliminar da etapa de Mérito,10/11/2021
9,Prazo para interposição de recursos sobre o resultado da etapa de Mérito,"11/11/2021 a25/11/2021"
10,Divulgação do resultado final da seleção,Até 02/12/2021
11,"Prazo para que o coordenador selecionado entregue a documentação, com vistas àassinatura do Termo de Outorga","01/12/2021 a10/01/2022"
