,Atividade,Data
0,Lançamento do edital,14/06/2021
1,Limite para impugnação do edital,24/06/2021
2,Limite para submissão de propostas no respectivo INCT,28/07/2021
3,Publicação do resultado preliminar da seleção,11/08/2021
4,Limite para interposição de recurso frente ao resultado preliminar,26/08/2021
5,Publicação do resultado final da seleção,03/09/2021
6,Limite para inclusão das propostas selecionadas (item 8.2) na plataforma OPP-,
7,,09/09/2021
8,FAPEG,
9,Limite para inclusão da documentação para contratação (item 15.3) na plata-,
10,,21/09/2021
11,forma OPP-FAPEG,
